UF_RESIDENCIA,NIVEL_ESCOLARIDADE
AC,78.63633609557695
AL,17.396839556871267
AM,60.82944369151928
AP,22.6770643691039
BA,11.260477014725122
CE,85.15400206014189
DF,51.4657325812221
ES,29.99642135523166
GO,55.02986822508251
MA,43.00321000853164
MG,45.18024340712745
MS,36.75019533296487
MT,56.07675833980282
PA,20.422386732548254
PB,32.206646117917344
PE,57.781752053302604
PI,35.46313366509465
PR,59.3015457134132
RJ,13.524635733983908
RN,18.909510927350137
RO,38.26222674952792
RR,69.44023255169718
RS,22.34344856938237
SC,34.789224317685836
SE,0.0
SP,100.0
TO,84.39451061686239
